					pc	bp	sp	stack
Initial	values				0	1	0
0	jmp	0	1		1	1	0	
1	inc	0	6		2	1	6	0 0 0 0 0 0 
2	sio	0	2		3	1	7	0 0 0 0 0 0 5 
3	sto	0	4		4	1	6	0 0 0 0 5 0 
4	lod	0	4		5	1	7	0 0 0 0 5 0 5 
5	sto	0	5		6	1	6	0 0 0 0 5 5 
6	lod	0	4		7	1	7	0 0 0 0 5 5 5 
7	lit	0	1		8	1	8	0 0 0 0 5 5 5 1 
8	opr	0	12		9	1	7	0 0 0 0 5 5 1 
9	jpc	0	19		10	1	6	0 0 0 0 5 5 
10	lod	0	4		11	1	7	0 0 0 0 5 5 5 
11	lit	0	1		12	1	8	0 0 0 0 5 5 5 1 
12	opr	0	3		13	1	7	0 0 0 0 5 5 4 
13	sto	0	4		14	1	6	0 0 0 0 4 5 
14	lod	0	5		15	1	7	0 0 0 0 4 5 5 
15	lod	0	4		16	1	8	0 0 0 0 4 5 5 4 
16	opr	0	4		17	1	7	0 0 0 0 4 5 20 
17	sto	0	5		18	1	6	0 0 0 0 4 20 
18	jmp	0	6		6	1	6	0 0 0 0 4 20 
6	lod	0	4		7	1	7	0 0 0 0 4 20 4 
7	lit	0	1		8	1	8	0 0 0 0 4 20 4 1 
8	opr	0	12		9	1	7	0 0 0 0 4 20 1 
9	jpc	0	19		10	1	6	0 0 0 0 4 20 
10	lod	0	4		11	1	7	0 0 0 0 4 20 4 
11	lit	0	1		12	1	8	0 0 0 0 4 20 4 1 
12	opr	0	3		13	1	7	0 0 0 0 4 20 3 
13	sto	0	4		14	1	6	0 0 0 0 3 20 
14	lod	0	5		15	1	7	0 0 0 0 3 20 20 
15	lod	0	4		16	1	8	0 0 0 0 3 20 20 3 
16	opr	0	4		17	1	7	0 0 0 0 3 20 60 
17	sto	0	5		18	1	6	0 0 0 0 3 60 
18	jmp	0	6		6	1	6	0 0 0 0 3 60 
6	lod	0	4		7	1	7	0 0 0 0 3 60 3 
7	lit	0	1		8	1	8	0 0 0 0 3 60 3 1 
8	opr	0	12		9	1	7	0 0 0 0 3 60 1 
9	jpc	0	19		10	1	6	0 0 0 0 3 60 
10	lod	0	4		11	1	7	0 0 0 0 3 60 3 
11	lit	0	1		12	1	8	0 0 0 0 3 60 3 1 
12	opr	0	3		13	1	7	0 0 0 0 3 60 2 
13	sto	0	4		14	1	6	0 0 0 0 2 60 
14	lod	0	5		15	1	7	0 0 0 0 2 60 60 
15	lod	0	4		16	1	8	0 0 0 0 2 60 60 2 
16	opr	0	4		17	1	7	0 0 0 0 2 60 120 
17	sto	0	5		18	1	6	0 0 0 0 2 120 
18	jmp	0	6		6	1	6	0 0 0 0 2 120 
6	lod	0	4		7	1	7	0 0 0 0 2 120 2 
7	lit	0	1		8	1	8	0 0 0 0 2 120 2 1 
8	opr	0	12		9	1	7	0 0 0 0 2 120 1 
9	jpc	0	19		10	1	6	0 0 0 0 2 120 
10	lod	0	4		11	1	7	0 0 0 0 2 120 2 
11	lit	0	1		12	1	8	0 0 0 0 2 120 2 1 
12	opr	0	3		13	1	7	0 0 0 0 2 120 1 
13	sto	0	4		14	1	6	0 0 0 0 1 120 
14	lod	0	5		15	1	7	0 0 0 0 1 120 120 
15	lod	0	4		16	1	8	0 0 0 0 1 120 120 1 
16	opr	0	4		17	1	7	0 0 0 0 1 120 120 
17	sto	0	5		18	1	6	0 0 0 0 1 120 
18	jmp	0	6		6	1	6	0 0 0 0 1 120 
6	lod	0	4		7	1	7	0 0 0 0 1 120 1 
7	lit	0	1		8	1	8	0 0 0 0 1 120 1 1 
8	opr	0	12		9	1	7	0 0 0 0 1 120 0 
9	jpc	0	19		19	1	6	0 0 0 0 1 120 
19	lod	0	5		20	1	7	0 0 0 0 1 120 120 
20	sio	0	1		21	1	6	0 0 0 0 1 120 
21	opr	0	0		0	0	0	
22	sio	0	3		0	0	0
